nom_iris,geometry,population,density_km2,revenues,demand_pop_kWh,demand_traffic_kWh,total_demand_kWh,dist_0,dist_1,dist_2,dist_3,dist_4,dist_5
La Baule les Pins,"MULTIPOLYGON (((-2.351325998650614 47.272436577104706, -2.351492142372685 47.27205534061342, -2.354928971655822 47.27316337629469, -2.3548631712264316 47.273314399135906, -2.35670956758873 47.27393465013991, -2.357604147551218 47.272776200203474, -2.3608888146883404 47.274004797686565, -2.3646839565718145 47.27557691819706, -2.3697310582498576 47.27725602708149, -2.372487400780225 47.27802244763633, -2.3748153439409294 47.278574976890106, -2.3812702391517533 47.27992660958718, -2.3810873974222386 47.28004699267497, -2.380981589925007 47.28022154733701, -2.3800848109563293 47.282438738763375, -2.3802073236095143 47.282827372185636, -2.380951937821126 47.28360128871938, -2.3811411168259924 47.2840066766698, -2.381103610012653 47.28449207294865, -2.380842763704683 47.28498513441908, -2.3806491756009844 47.28522331891933, -2.3796941108284706 47.28605360424125, -2.377357344611193 47.287533628131044, -2.3769883556556333 47.28794056081321, -2.3770183006597856 47.288107005615494, -2.3763319875981583 47.288417673575445, -2.375297779895642 47.288340230723875, -2.374278547089247 47.28818719057084, -2.3733031537357405 47.28795541048613, -2.3719700325875195 47.287488457498505, -2.370902076919002 47.28696769196906, -2.3688305244158667 47.2856145549847, -2.3670374850438343 47.28467167642577, -2.3596761305951173 47.28144193713451, -2.3570541411697503 47.27990924554407, -2.355879661918363 47.27915506632591, -2.355451969783939 47.27880217876692, -2.354990437235557 47.27832272433515, -2.3544945524601073 47.27757867115977, -2.354218349045268 47.27685694688752, -2.3538325819676724 47.27510351757497, -2.3534483311116445 47.27432181807346, -2.352779676288069 47.27346663680103, -2.352117837180313 47.272918829181435, -2.351325998650614 47.272436577104706)))",2346.99457595517,1290.2893050288794,31760,463.19152100444137,0.0,463.19152100444137,0.0,2.8855999999999997,3.3062,2.3819,2.9707,4.3403
Centre-Benoît,"MULTIPOLYGON (((-2.3812702391517533 47.27992660958718, -2.3855876736707056 47.280680667896824, -2.3916433028939883 47.28136542283287, -2.395572696862798 47.281422515999104, -2.3987697465021878 47.281238387357945, -2.401115257341377 47.28097295572313, -2.405505766348368 47.28027639903715, -2.409576922065938 47.27949081137978, -2.4134903211776892 47.27860145583587, -2.415572842097354 47.27799157617355, -2.416624153542073 47.277595914448916, -2.4179948980060173 47.277212374213576, -2.420506710480733 47.276141061024965, -2.421817761353113 47.275337953992334, -2.4232762821129534 47.2742364582327, -2.4232479128450883 47.2741394273511, -2.424096035846913 47.27439750143846, -2.4244713398504647 47.27483111601725, -2.4250594919168837 47.275796188204346, -2.426554558355913 47.27694437249057, -2.4271396155082803 47.277747152978364, -2.4272956419199745 47.278332706013195, -2.427031431037004 47.27831620767986, -2.423488074518164 47.27902086657381, -2.423052073032158 47.27916760991464, -2.422474730902966 47.279280360413864, -2.418610426786439 47.28048445928127, -2.4116051813296973 47.28215461495518, -2.411587947235387 47.28222039021707, -2.41149039704741 47.282265553128575, -2.4113186629499035 47.28221943263681, -2.4103263306807543 47.2824516645498, -2.409903232866414 47.28242449896539, -2.409511784696325 47.282448191143125, -2.4093017223439386 47.282508531410556, -2.408450878037681 47.28289476095811, -2.395868087987205 47.285888935715, -2.3957975651867844 47.28502957228123, -2.394549786210256 47.28549192815707, -2.39431671446214 47.28554789708361, -2.3938398023020557 47.28557912331598, -2.392638129974929 47.28556377307723, -2.3922087438366755 47.28552690913088, -2.390386261535715 47.285892341104386, -2.3902560839068516 47.2858505729031, -2.3900312194344955 47.28588269010803, -2.3897181639713083 47.28605335887184, -2.389572929105475 47.28636330292498, -2.389483904265421 47.28641436590776, -2.388114473960609 47.28672259174995, -2.387658396654432 47.286750116003674, -2.383535375392471 47.28636606297475, -2.38294752424457 47.28626975423168, -2.382032751385561 47.28599462556474, -2.381685643081364 47.285839303813106, -2.3806491756009844 47.28522331891933, -2.380842763704683 47.28498513441908, -2.381103610012653 47.28449207294865, -2.3811411168259924 47.2840066766698, -2.380951937821126 47.28360128871938, -2.3802073236095143 47.282827372185636, -2.3800848109563293 47.282438738763375, -2.380981589925007 47.28022154733701, -2.3810873974222386 47.28004699267497, -2.3812702391517533 47.27992660958718)))",1616.91905638725,1029.6391541211776,31940,321.2546653491017,0.0,321.2546653491017,2.8855999999999997,0.0,0.7609,3.371,7.4203,11.3524
Gare-Grand Clos,"MULTIPOLYGON (((-2.4272956419199745 47.278332706013195, -2.427235915050244 47.27869916263309, -2.4265872283107055 47.27975826116615, -2.426377728418372 47.28057118992722, -2.4261629314540176 47.28054515559158, -2.4261091788254188 47.28080033868436, -2.4259216849414993 47.280782048841445, -2.4258966246314198 47.28092760277279, -2.4263079751732937 47.28119258517597, -2.4263250206203426 47.28129556011119, -2.4261696275035383 47.28141112351368, -2.4259921074858015 47.28134724772804, -2.425930659556103 47.28139524445479, -2.4260444180980305 47.28147113042528, -2.424555886327515 47.28244772389927, -2.42389197790103 47.28263582051033, -2.4201488664414232 47.28319089501137, -2.4167039378491717 47.2840468310243, -2.414325848314564 47.28426627181304, -2.4133690770032703 47.28450949968829, -2.4125966882330996 47.28460875104606, -2.412597026848476 47.28466468183243, -2.41156493178979 47.284397967906635, -2.4101507526464356 47.284537103529786, -2.4099754783199554 47.284640035943816, -2.410007617443263 47.285077083415864, -2.409665137920781 47.28533671224806, -2.407732264976513 47.28555327295239, -2.4074317334533237 47.285650316528084, -2.4077193230474445 47.28608266015432, -2.407893398791989 47.28686229590049, -2.4072485374954002 47.287135126830556, -2.406760071715685 47.2872228912784, -2.406277057459574 47.28724633176328, -2.4058044071053377 47.28713573765613, -2.404911812815671 47.287227008127346, -2.405808948526392 47.286996562584044, -2.397903496710295 47.28825935413191, -2.395929551206504 47.28847762426493, -2.393406001039477 47.28867722852687, -2.3910469029486747 47.288692265988544, -2.3763319875981583 47.288417673575445, -2.3770183006597856 47.288107005615494, -2.3769883556556333 47.28794056081321, -2.377357344611193 47.287533628131044, -2.3796941108284706 47.28605360424125, -2.3806491756009844 47.28522331891933, -2.381685643081364 47.285839303813106, -2.382032751385561 47.28599462556474, -2.38294752424457 47.28626975423168, -2.383535375392471 47.28636606297475, -2.387658396654432 47.286750116003674, -2.388114473960609 47.28672259174995, -2.389483904265421 47.28641436590776, -2.389572929105475 47.28636330292498, -2.3897181639713083 47.28605335887184, -2.3900312194344955 47.28588269010803, -2.3902560839068516 47.2858505729031, -2.390386261535715 47.285892341104386, -2.3922087438366755 47.28552690913088, -2.392638129974929 47.28556377307723, -2.3938398023020557 47.28557912331598, -2.39431671446214 47.28554789708361, -2.394549786210256 47.28549192815707, -2.3957975651867844 47.28502957228123, -2.395868087987205 47.285888935715, -2.408450878037681 47.28289476095811, -2.4093017223439386 47.282508531410556, -2.409511784696325 47.282448191143125, -2.409903232866414 47.28242449896539, -2.4103263306807543 47.2824516645498, -2.4113186629499035 47.28221943263681, -2.41149039704741 47.282265553128575, -2.411587947235387 47.28222039021707, -2.4116051813296973 47.28215461495518, -2.418610426786439 47.28048445928127, -2.422474730902966 47.279280360413864, -2.423052073032158 47.27916760991464, -2.423488074518164 47.27902086657381, -2.427031431037004 47.27831620767986, -2.4272956419199745 47.278332706013195)))",1869.03207087973,1584.3103235132733,26750,317.4305722042825,0.0,317.4305722042825,3.3062,0.7609,0.0,3.0541,7.0775,11.0097
Beslon,"MULTIPOLYGON (((-2.404911812815671 47.287227008127346, -2.404635627971644 47.28738156123683, -2.404792194540322 47.28814577360061, -2.4041304559956354 47.28850148729749, -2.403285462812268 47.28885491416275, -2.4026856087433375 47.28864015140419, -2.4019624697771786 47.288755078842996, -2.4020593998987327 47.28899329329449, -2.402437329431132 47.289190433616454, -2.4026553320091133 47.28957730540665, -2.402472329204116 47.29018319675507, -2.4022619884343985 47.29012261979337, -2.402097646098964 47.28995251783259, -2.401873546545839 47.289913335814845, -2.4011819236031235 47.28997264698983, -2.401015457746662 47.29012388051512, -2.400972010822967 47.29042999871676, -2.4004956914927127 47.29040166747248, -2.39904155411408 47.290975649786986, -2.397759468455463 47.290584203972585, -2.3972362086562233 47.29051112374792, -2.397044978605998 47.2905877069966, -2.3970318417817484 47.29074713249267, -2.39723976129715 47.29106048960063, -2.3972788561596907 47.2914358510092, -2.396544455134908 47.291571118510696, -2.3961290615569864 47.29138382518589, -2.395943488551132 47.29143758421243, -2.3960068630598848 47.29177752571821, -2.395710667372514 47.2919050140339, -2.394724180692899 47.291973502971004, -2.3944401032081877 47.29150938591881, -2.394210382042723 47.291440673316536, -2.39385044531158 47.29152781130886, -2.392580873449245 47.29144523186384, -2.391910570929179 47.2916641117224, -2.3914351586207476 47.29157885305153, -2.3909972984975334 47.29186722100959, -2.3905989590164998 47.29166467778116, -2.390382668216946 47.29165037604886, -2.390172254798768 47.291734156069865, -2.3900603058480447 47.292692238843735, -2.391104050076985 47.29259947039461, -2.3917001353096734 47.2935552932265, -2.391767945432003 47.29405835365402, -2.391667372483804 47.295749514725514, -2.3918432009521915 47.29664097114993, -2.390989485650389 47.2983743855832, -2.3897656047026707 47.30009432547412, -2.388458550358546 47.30006306392034, -2.3868730559310944 47.30028384970596, -2.385845837438996 47.30021248141812, -2.383587761953712 47.299943827018176, -2.3822162005494567 47.299917296619576, -2.3811029055833988 47.29984717730311, -2.379633080331223 47.299885635243015, -2.379411503343118 47.29980568677486, -2.378261769916467 47.29884302047664, -2.376682393390222 47.2978280913222, -2.375691089727543 47.29709536571535, -2.3753113430917967 47.29669429841147, -2.374841740206127 47.296058279892925, -2.37390941769597 47.29550327172479, -2.3728582838628496 47.29462261033999, -2.372388179219571 47.29414000284603, -2.372291777815742 47.2941309370156, -2.372294544381371 47.29402613852678, -2.3721792865630493 47.29376258750708, -2.3718814759976863 47.2932521396997, -2.3708129661131383 47.29227662117272, -2.3697004736220366 47.29137802561051, -2.369551845875505 47.29135062429515, -2.369540300476579 47.29130153121603, -2.369276256452895 47.29126052873425, -2.3686566202114143 47.29104560966395, -2.365548191055028 47.29030530292336, -2.3652328865170555 47.290242302361634, -2.365080386096024 47.290255679511795, -2.364706421341724 47.29008350519358, -2.364119044017412 47.28970013967544, -2.3636119380074523 47.28927064667432, -2.3634369356086395 47.289032412482065, -2.363310839385772 47.288646640154134, -2.3632024973465535 47.28855781307998, -2.363531850760747 47.2882574337397, -2.3658034072271183 47.28718226322903, -2.366121023551049 47.286963628313146, -2.366499839366682 47.28654815743947, -2.366644510264969 47.28628429334172, -2.3667135883003527 47.285980618538616, -2.366746971434724 47.28509479041624, -2.3668337329496465 47.28487511511415, -2.3670374850438343 47.28467167642577, -2.3688305244158667 47.2856145549847, -2.370902076919002 47.28696769196906, -2.3719700325875195 47.287488457498505, -2.3733031537357405 47.28795541048613, -2.374278547089247 47.28818719057084, -2.375297779895642 47.288340230723875, -2.3763319875981583 47.288417673575445, -2.3910469029486747 47.288692265988544, -2.393406001039477 47.28867722852687, -2.395929551206504 47.28847762426493, -2.397903496710295 47.28825935413191, -2.405808948526392 47.286996562584044, -2.404911812815671 47.287227008127346)))",2408.48886909991,1057.621830573141,23160,206.51593906066302,0.0,206.51593906066302,2.3819,3.371,3.0541,0.0,2.6009,5.0268999999999995
Escoublac,"MULTIPOLYGON (((-2.3897656047026707 47.30009432547412, -2.389177022779645 47.300942825691834, -2.388074849521427 47.301723160589844, -2.3877820543401507 47.30208327002944, -2.386682354548109 47.30255848421938, -2.3863209853136333 47.30281710509497, -2.3857177565065597 47.30299221811829, -2.385246723536545 47.30322886087229, -2.3849273519350915 47.30312639573936, -2.3843808920170995 47.30348384269634, -2.3841900095592035 47.30425157397305, -2.383646422702585 47.30486243906976, -2.380013019307897 47.307613616744874, -2.380415007909663 47.30879054627856, -2.379748103930206 47.31018311503242, -2.378761742006875 47.311737580176995, -2.378502049083099 47.31199235566769, -2.377650538760234 47.31219337657115, -2.3771382618957344 47.312152172156836, -2.37613645678615 47.31172762245897, -2.3757878209037053 47.31198200450692, -2.375004157260449 47.31268786812607, -2.3733951512622604 47.31451838102835, -2.3729929407963284 47.31598615246532, -2.373069352647021 47.316179317256875, -2.372834982663945 47.31627680208134, -2.3723323013028503 47.3168216389869, -2.372122422702479 47.31688550368751, -2.371815055993562 47.31686365304664, -2.370023668689853 47.31605424882294, -2.366803164384338 47.315136838689845, -2.365951651464858 47.31499398662737, -2.3634322688155374 47.314916572858756, -2.362764001685026 47.31481484742618, -2.3618369131258263 47.31460598372716, -2.3599554661357915 47.31400813106942, -2.3585275590637735 47.31338116585864, -2.357653593008478 47.31330516169542, -2.355552047773189 47.313292184589244, -2.356815346840091 47.31184696522354, -2.356318020648312 47.31159654522531, -2.3550747197339397 47.31118298002918, -2.3542629053066406 47.310692628004524, -2.3531509077147565 47.310517504576154, -2.3528351361042925 47.31010529426592, -2.3501374159196238 47.309859888438965, -2.3488789510504833 47.309639151617, -2.3480687596223384 47.30912432252425, -2.3476395098932126 47.30915675793204, -2.3436446862593354 47.307489455820225, -2.342529549214167 47.30721512663798, -2.3423217033608084 47.30739253410579, -2.3420945449159056 47.30672357027607, -2.3419714753988123 47.3066200636013, -2.340963615628871 47.30663673110254, -2.3399467065643385 47.30694885872122, -2.339975394718742 47.306770686369795, -2.3382750305288864 47.306747046809974, -2.3380596062620547 47.307101645574484, -2.3378191256314267 47.30719121970043, -2.337395817681544 47.307829687982824, -2.3364905269107323 47.30815739651894, -2.336592665752269 47.308517222134974, -2.3350602864288272 47.308649114775015, -2.335063137021029 47.30825107133665, -2.334256934530555 47.30813478338421, -2.333961035283747 47.30796072227263, -2.3330899733367594 47.30785914083719, -2.332430200271584 47.306627184616204, -2.3314791553229623 47.30641468035425, -2.3309873501293215 47.30640481733628, -2.3312172318272606 47.306221906679525, -2.331069080749147 47.30617277831034, -2.3296015129121495 47.30588837094902, -2.326601446783014 47.30578716571819, -2.3259391803012393 47.305690374377285, -2.325644017613156 47.304895484883225, -2.3256993419812204 47.30465112936452, -2.3259194572657726 47.30439649509968, -2.3261587946849853 47.3038278823452, -2.326388237796535 47.303506951017, -2.3278786350369614 47.3023529952912, -2.32958865740929 47.301300802505935, -2.3299094872421637 47.30113897537048, -2.3302860056155077 47.30101699401595, -2.332084188850625 47.30055892749027, -2.332890479179229 47.30026377413643, -2.333926262278661 47.29960886407842, -2.334897394268197 47.29882428149663, -2.337276961671787 47.29742533443438, -2.3378273308266415 47.29715817009655, -2.3382824560755555 47.29706682745471, -2.3392372902470706 47.29697231289763, -2.3394953543079082 47.29689996918441, -2.3405155185748883 47.29636932799256, -2.342475366510551 47.29571234957368, -2.3430034665215826 47.29558153105166, -2.343720421648342 47.295535841857784, -2.34426064529883 47.29539363066924, -2.3448854516303177 47.294982237305064, -2.345955800170759 47.29403777621467, -2.346528554733168 47.29367659608098, -2.3467680650420277 47.29357802162121, -2.3470047568251924 47.29353100835095, -2.34710716898067 47.29345409812065, -2.3472616884025954 47.29322139063373, -2.3479479106876577 47.29277466102124, -2.3519331437444597 47.29092590498887, -2.3523884084211524 47.29061072260337, -2.354116646099779 47.2909450459867, -2.3555201068137546 47.29126728551367, -2.3561068513315404 47.291286185042885, -2.3561784534933436 47.291405590726576, -2.356305106148767 47.291452070978885, -2.35643333708493 47.29144794832651, -2.3565608392296817 47.2913834038902, -2.3566008181340234 47.29125252431321, -2.3564917392078697 47.29114297207947, -2.356789826949676 47.29066179152312, -2.357310198177294 47.29006927350702, -2.3571479852509243 47.289879165031195, -2.356911157032039 47.28969882207473, -2.355642782991682 47.28916192160682, -2.3568685426741784 47.28809015175896, -2.3584849261375354 47.2872520498773, -2.357033591477446 47.2865557954496, -2.3569467618503257 47.286761929636874, -2.3564173194204883 47.286957846741345, -2.356198441009257 47.286625083306554, -2.355925116706701 47.28587976914662, -2.354189576843695 47.28565680163841, -2.3538122003107462 47.28555603579615, -2.3533650295910413 47.28535382459677, -2.352898673351335 47.285198516376326, -2.351630722259487 47.28491691399534, -2.3506422098089637 47.28459171545889, -2.3514624661566463 47.28362895805695, -2.3510632018701334 47.28348137223333, -2.350815952451609 47.283302402228784, -2.350797290427496 47.28304881071351, -2.351055451889182 47.282778825102795, -2.35141765756042 47.2828739833781, -2.351516990725488 47.282713294362445, -2.3519366697732393 47.282813014920336, -2.352319749213252 47.2822268582161, -2.352616389590807 47.28236925518691, -2.352994572373405 47.282491642314575, -2.3534873115720205 47.28255279131106, -2.353807665071486 47.28252084440548, -2.354072026954607 47.28237959642112, -2.354750474502947 47.28183031033828, -2.355610712255276 47.28137548088082, -2.3555364530641016 47.280857371798916, -2.35553113603589 47.28031261535884, -2.355879661918363 47.27915506632591, -2.3570541411697503 47.27990924554407, -2.3596761305951173 47.28144193713451, -2.3670374850438343 47.28467167642577, -2.3668337329496465 47.28487511511415, -2.366746971434724 47.28509479041624, -2.3667135883003527 47.285980618538616, -2.366644510264969 47.28628429334172, -2.366499839366682 47.28654815743947, -2.366121023551049 47.286963628313146, -2.3658034072271183 47.28718226322903, -2.363531850760747 47.2882574337397, -2.3632024973465535 47.28855781307998, -2.363310839385772 47.288646640154134, -2.3634369356086395 47.289032412482065, -2.3636119380074523 47.28927064667432, -2.364119044017412 47.28970013967544, -2.364706421341724 47.29008350519358, -2.365080386096024 47.290255679511795, -2.3652328865170555 47.290242302361634, -2.365548191055028 47.29030530292336, -2.3686566202114143 47.29104560966395, -2.369276256452895 47.29126052873425, -2.369540300476579 47.29130153121603, -2.369551845875505 47.29135062429515, -2.3697004736220366 47.29137802561051, -2.3708129661131383 47.29227662117272, -2.3718814759976863 47.2932521396997, -2.3721792865630493 47.29376258750708, -2.372294544381371 47.29402613852678, -2.372291777815742 47.2941309370156, -2.372388179219571 47.29414000284603, -2.3728582838628496 47.29462261033999, -2.37390941769597 47.29550327172479, -2.374841740206127 47.296058279892925, -2.3753113430917967 47.29669429841147, -2.375691089727543 47.29709536571535, -2.376682393390222 47.2978280913222, -2.378261769916467 47.29884302047664, -2.379411503343118 47.29980568677486, -2.379633080331223 47.299885635243015, -2.3811029055833988 47.29984717730311, -2.3822162005494567 47.299917296619576, -2.383587761953712 47.299943827018176, -2.385845837438996 47.30021248141812, -2.3868730559310944 47.30028384970596, -2.388458550358546 47.30006306392034, -2.3897656047026707 47.30009432547412)))",3511.31797767547,421.5013266534521,27110,218.82589374196306,52.77090205021432,271.5967957921774,2.9707,7.4203,7.0775,2.6009,0.0,4.1328000000000005
Le Guézy,"MULTIPOLYGON (((-2.297022884553247 47.30319607965102, -2.297195418141293 47.30271360171278, -2.2973116766466712 47.302668588649105, -2.297427002047414 47.30243955531987, -2.297861708304664 47.30220765356171, -2.2985004342215514 47.30170476551354, -2.2999209959895976 47.30092612125285, -2.2993660594682552 47.300719611765025, -2.2993769473592813 47.30057475062598, -2.2998398617493265 47.2999842510223, -2.299630667188383 47.29818927356262, -2.300120578238969 47.29705346634656, -2.3000707103092655 47.296347462765226, -2.300342650063138 47.295207184449595, -2.301473455231839 47.29383362876426, -2.302996488187958 47.29143787662727, -2.3038590288228407 47.29033010520329, -2.3042525589607803 47.28926725409447, -2.3044847109699487 47.28894624328595, -2.3049942767107976 47.28697850298777, -2.3066647086928738 47.28532572764185, -2.3077946329399466 47.28442943610344, -2.3094207201450083 47.28357626315432, -2.3105605812277514 47.28258023342985, -2.3107940283668778 47.28264803209975, -2.311510246859095 47.281940290147425, -2.312350627172554 47.28141542794577, -2.3127423251024175 47.28092557066224, -2.3129891978008787 47.280794245645154, -2.312994484227215 47.280633395847744, -2.314033430576565 47.279034711534926, -2.3144380177659616 47.27820679865753, -2.3146289498853156 47.278193528578015, -2.3146149537221308 47.27672704535054, -2.314830815535377 47.275854551656174, -2.3151787642325576 47.275485791840005, -2.3159997775013106 47.27515487484697, -2.31600038101735 47.2748264124837, -2.3168706595847737 47.27465834757968, -2.3172220321619545 47.274846138800214, -2.317459336477858 47.27484607401083, -2.317983375536315 47.27467584703761, -2.317979877570724 47.2750017359755, -2.3185641585619408 47.27495776910821, -2.3184568878565295 47.274718171988866, -2.32167425423969 47.27369970039503, -2.3218105924982355 47.273015811214854, -2.321293904948587 47.27211017999346, -2.322890369861098 47.27218029797411, -2.323113236532275 47.27239563178258, -2.323741540199277 47.271699958271626, -2.3232987908139426 47.2709786148597, -2.3241100285680223 47.270804181696896, -2.324664748418034 47.270315803531574, -2.3252615454156422 47.270264908814134, -2.325843638591202 47.270546734280735, -2.3262321639860435 47.2706145889039, -2.3266584618141266 47.27056881977238, -2.3280814647635255 47.269706640132, -2.3291929060351793 47.268791102499385, -2.329406612054934 47.268860672982804, -2.3301476326344095 47.26910087737003, -2.3305186539561027 47.268792358819276, -2.3312118794200383 47.268444647270684, -2.3322396298828214 47.2681284517218, -2.3329499292792586 47.268046123850915, -2.3339655488776407 47.268114854508504, -2.342650098269695 47.27006333065682, -2.342636347812096 47.27043120722594, -2.343212836014499 47.270562521602855, -2.3432167352003352 47.27036202764965, -2.3488310161004686 47.2716124951415, -2.3503496181176167 47.2721243594636, -2.351257746701526 47.27254981328041, -2.351325998650614 47.272436577104706, -2.352117837180313 47.272918829181435, -2.352779676288069 47.27346663680103, -2.3534483311116445 47.27432181807346, -2.3538325819676724 47.27510351757497, -2.354218349045268 47.27685694688752, -2.3544945524601073 47.27757867115977, -2.354990437235557 47.27832272433515, -2.355451969783939 47.27880217876692, -2.355879661918363 47.27915506632591, -2.35553113603589 47.28031261535884, -2.3555364530641016 47.280857371798916, -2.355610712255276 47.28137548088082, -2.354750474502947 47.28183031033828, -2.354072026954607 47.28237959642112, -2.353807665071486 47.28252084440548, -2.3534873115720205 47.28255279131106, -2.352994572373405 47.282491642314575, -2.352616389590807 47.28236925518691, -2.352319749213252 47.2822268582161, -2.3519366697732393 47.282813014920336, -2.351516990725488 47.282713294362445, -2.35141765756042 47.2828739833781, -2.351055451889182 47.282778825102795, -2.350797290427496 47.28304881071351, -2.350815952451609 47.283302402228784, -2.3510632018701334 47.28348137223333, -2.3514624661566463 47.28362895805695, -2.3506422098089637 47.28459171545889, -2.351630722259487 47.28491691399534, -2.352898673351335 47.285198516376326, -2.3533650295910413 47.28535382459677, -2.3538122003107462 47.28555603579615, -2.354189576843695 47.28565680163841, -2.355925116706701 47.28587976914662, -2.356198441009257 47.286625083306554, -2.3564173194204883 47.286957846741345, -2.3569467618503257 47.286761929636874, -2.357033591477446 47.2865557954496, -2.3584849261375354 47.2872520498773, -2.3568685426741784 47.28809015175896, -2.355642782991682 47.28916192160682, -2.356911157032039 47.28969882207473, -2.3571479852509243 47.289879165031195, -2.357310198177294 47.29006927350702, -2.356789826949676 47.29066179152312, -2.3564917392078697 47.29114297207947, -2.3566008181340234 47.29125252431321, -2.3565608392296817 47.2913834038902, -2.35643333708493 47.29144794832651, -2.356305106148767 47.291452070978885, -2.3561784534933436 47.291405590726576, -2.3561068513315404 47.291286185042885, -2.3555201068137546 47.29126728551367, -2.354116646099779 47.2909450459867, -2.3523884084211524 47.29061072260337, -2.3519331437444597 47.29092590498887, -2.3479479106876577 47.29277466102124, -2.3472616884025954 47.29322139063373, -2.34710716898067 47.29345409812065, -2.3470047568251924 47.29353100835095, -2.3467680650420277 47.29357802162121, -2.346528554733168 47.29367659608098, -2.345955800170759 47.29403777621467, -2.3448854516303177 47.294982237305064, -2.34426064529883 47.29539363066924, -2.343720421648342 47.295535841857784, -2.3430034665215826 47.29558153105166, -2.342475366510551 47.29571234957368, -2.3405155185748883 47.29636932799256, -2.3394953543079082 47.29689996918441, -2.3392372902470706 47.29697231289763, -2.3382824560755555 47.29706682745471, -2.3378273308266415 47.29715817009655, -2.337276961671787 47.29742533443438, -2.334897394268197 47.29882428149663, -2.333926262278661 47.29960886407842, -2.332890479179229 47.30026377413643, -2.332084188850625 47.30055892749027, -2.3302860056155077 47.30101699401595, -2.3299094872421637 47.30113897537048, -2.32958865740929 47.301300802505935, -2.3278786350369614 47.3023529952912, -2.326388237796535 47.303506951017, -2.3261587946849853 47.3038278823452, -2.3259194572657726 47.30439649509968, -2.3256993419812204 47.30465112936452, -2.3252320659116905 47.304807941497934, -2.3242552266537864 47.30489612547747, -2.3227034026702036 47.30519206568387, -2.3220685153783416 47.30537099759433, -2.32128577793796 47.30574438879253, -2.3208163890259503 47.305773154532226, -2.3206926254847504 47.30571567565191, -2.3204761364701736 47.30527176334029, -2.3198022087074066 47.3049769703691, -2.3196604348153866 47.30472452128907, -2.3191897352155233 47.304980716660886, -2.3186716356539177 47.304678766498874, -2.3177456810744204 47.30384874266228, -2.317293442672205 47.30307367571321, -2.316705627599894 47.3028308576406, -2.316506318140628 47.30298797427698, -2.316063311071308 47.302733999501534, -2.315970985205675 47.3028329736593, -2.315404705864158 47.30239246408781, -2.315522090422883 47.30226527269654, -2.3150183846896613 47.30188054023291, -2.3146195583164837 47.30184469140871, -2.3143298324749906 47.301263372087014, -2.314118378067844 47.30109712233964, -2.313725106696982 47.301063722875995, -2.3136241067045344 47.300954665802124, -2.313351067773453 47.30090312103951, -2.3127572716843763 47.30096101841831, -2.3124823170037714 47.300675868740015, -2.3096212239061864 47.30119765972966, -2.308516696031412 47.30156314814639, -2.307628049955872 47.30151000839206, -2.30714139927051 47.30168567948464, -2.3063439618644894 47.30183046328363, -2.305089842267743 47.30191764698141, -2.304508790202948 47.301876570028625, -2.3042094551167986 47.30194801441693, -2.3036856577186673 47.30224447032754, -2.3034538403714535 47.30271704150268, -2.303317832344572 47.30352809195751, -2.303002466809814 47.303907038752925, -2.3027219763424314 47.30461191367054, -2.302472930577279 47.304829926878114, -2.302072363993295 47.304937575105996, -2.300677379572515 47.30490212606464, -2.3002840555220225 47.30482808048926, -2.300265213919367 47.304610592727286, -2.3004334507463593 47.304178832748065, -2.2996429858749936 47.30408595208941, -2.2985556371679663 47.3036195643903, -2.297022884553247 47.30319607965102)))",4467.25389787772,394.2137333449865,27800,282.9946795513867,70.92947325271301,353.9241528040997,4.3403,11.3524,11.0097,5.0268999999999995,4.1328000000000005,0.0
